code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,mean_assessment_score,code_module,total_vle_clicks
2013J,11391,1,0,1,9,2,0,240,0,Pass,-159.0,0.0,82.0,AAA,922.0
2013J,28400,0,6,1,2,1,0,60,0,Pass,-53.0,0.0,66.4,AAA,1409.0
2013J,30268,0,5,0,3,1,0,60,1,Withdrawn,-92.0,12.0,0.0,AAA,260.0
2013J,31604,0,7,0,5,1,0,60,0,Pass,-52.0,0.0,76.0,AAA,2007.0
2013J,32885,0,11,2,5,0,0,60,0,Pass,-176.0,0.0,54.4,AAA,1012.0
2013J,38053,1,10,0,8,1,0,60,0,Pass,-110.0,0.0,68.0,AAA,2384.0
2013J,45462,1,6,1,3,0,0,60,0,Pass,-67.0,0.0,68.0,AAA,1448.0
2013J,45642,0,5,0,9,0,0,120,0,Pass,-29.0,0.0,72.4,AAA,1353.0
2013J,52130,0,0,0,7,0,0,90,0,Pass,-33.0,0.0,71.4,AAA,1849.0
2013J,53025,1,4,4,10,2,0,60,0,Pass,-179.0,0.0,78.0,AAA,3074.0
2013J,57506,1,8,2,7,1,0,60,0,Pass,-103.0,0.0,74.0,AAA,1315.0
2013J,58873,0,0,0,2,0,0,60,0,Pass,-47.0,0.0,73.2,AAA,1705.0
2013J,59185,1,0,2,6,1,0,60,0,Pass,-59.0,0.0,78.6,AAA,1085.0
2013J,62155,0,5,1,5,0,0,60,0,Pass,-68.0,0.0,76.0,AAA,3230.0
2013J,63400,1,6,2,4,1,0,60,0,Pass,-67.0,0.0,71.6,AAA,2654.0
2013J,65002,0,0,0,7,0,0,60,0,Withdrawn,-180.0,96.0,67.0,AAA,171.0
2013J,70464,0,11,0,6,1,0,60,0,Pass,-95.0,0.0,55.6,AAA,1047.0
2013J,71361,1,2,1,10,1,0,60,0,Pass,-130.0,0.0,80.4,AAA,2278.0
2013J,74372,1,0,0,1,1,0,150,0,Fail,-50.0,0.0,48.5,AAA,111.0
2013J,75091,1,9,0,3,1,0,60,0,Pass,-107.0,0.0,66.0,AAA,2886.0
2013J,77367,1,1,0,3,0,0,60,0,Pass,-27.0,0.0,70.4,AAA,654.0
2013J,91265,1,5,1,0,0,0,60,0,Pass,-31.0,0.0,70.8,AAA,1485.0
2013J,94961,1,8,2,7,1,0,60,0,Withdrawn,-170.0,72.0,74.0,AAA,335.0
2013J,98094,1,10,2,7,1,0,60,0,Pass,-107.0,0.0,60.6,AAA,2828.0
